,Landlord,City,State,Zip,Country,Review,Repair,Health,Stability,Privacy,Respect
0,ALFRED EPP,LETHBRIDGE,ALBERTA,T1J 5J4,CA,"Worst landlord I have ever had to deal with. One thing I will give is price was fair for what we were paying for. However, he did not do any upgrades he promised in the leased (we had an unsafe unfinished back door that didn’t lock for the entire lease). He came unannounced without 24h notice, and called tenants names to belittle us. Do not recommend.",2,3,4,1,1
1,MKCC PROPERTY,REGINA,SASKATCHEWAN,S4P2M8,CA,"Great landlords. I've barely had to reach out to them. When I do have to reach out to them, issues are dealt with or addressed within a day or two. Any pest reports are taken very seriously and permanent fixes are put in place. Other problem tenants are addressed. about 2/3 of most of their apartments is carpet which sucks, but all repairs are done quickly. The one exception to them addressing problems is my fridge that sounds like a jet engine at times but that's with all apartment sized cheap fridges I think.",4,5,5,5,5
2,TANGLEWOOD PROPERTIES,GRAND RAPIDS,MICHIGAN,49506,US,"Things I haven’t liked:
1. Advance notice of visits is almost never given.
2. He tracks in mud and doesn’t clean up after himself. Got dust all over my stuff while doing construction.
3. Left a trailer full of trash in backyard and was rude when I brought it up. The trash was even falling out and spilling all over into the yard. It rained on it and I was the one who had to clean up the smelly, dripping-wet trash bags.
4. Maintenance and repairs can be slow. He’s spread too thin and probably needs to hire someone or delegate certain things to a property management service.
5. Provided appliances are pretty much always 20+ years old, energy inefficient, and barely functional.

Things I have liked:
1. Usually reasonable and responsive.
2. Rent increases have been reasonable and generally below market increases.
3. Has been flexible about certain things that he could have raised issue with.
4. Friendly and mostly leaves me alone.
5. Lawncare is timely. Email/text responses are timely.
6. He genuinely puts a lot of effort into making his properties nice before renting them out.",4,4,5,3,4
3,THERESA (THIEU THUY) MAC,TORONTO,ONTARIO,M5T2S3,CA,"Theresa never repairs anything and leaves these requests on ""Read."" She has an obvious front downstairs and sends all her personal mail here despite it not being her primary residential address. She uses this fake business as an excuse to corner us into discussions (never about her responsibilities: last time it was to accuse us of not paying rent and request screenshots as proof) without providing the required 24h notice. The rooms suck, there's no livable common area and it's still like 1k per month. She does not provide the necessary amount of garbage bins for the size of her rental households and refuses to do any outdoor maintenance. She also controls the heat and AC against our will even though we are the ones paying for Hydro. She also blatantly lies and assumes because we are immigrant/not from Ontario we don't know our rights as tenants.",1,1,3,1,1
4,ROSS FRESHWATER,EAGLE HARBOR,MICHIGAN,49959,US,"Ross will think you're entitled if you complain about the mold growing in his rentals. He dislikes tenants who ask him to repair things. He will stand in your doorway and peer in. When you move, he will say passive aggressive things about you.",1,1,3,3,2
5,MIKE LAHTI,HOUGHTON,MICHIGAN,49930,US,"Lahti will not plow your driveway or fix anything. Your door will never get fixed, your driveway will be full of snow every morning, and his secretaries will do everything they can to avoid your calls. Everyone will be nicer to you if you're a local, but in general they're polite ish and they don't bother you. They don't randomly raise rent. 
Overall not the worst.",1,3,5,5,4
6,ASHTON AT DULLES CORNER,HERNDON,VIRGINIA,20171,US,"These apartments are consistently overpriced for their value. People tend to smoke in the stairwells, which constantly sets off the fire alarms. Management has not been doing nearly enough to address that issue. Their staffing is also slim and disorganized. There are never enough people at the front office to answer questions.",3,3,2,2,3
7,PMI LOUDOUN,ASHBURN,VIRGINIA,20147,US,"Units managed by this company fall into disrepair consistently. They delay work and hire disorganized contractors who do not complete all of the necessary requirements. The units are also all consistently overpriced, to the poont of gouging residents. They do not inform you of specific price increases (outside of the rent increases) which are usually accounted for ""services"" you did not ask for.",1,2,3,4,4
8,HOLLOHAN PROPERTY MANAGEMENT,HALIFAX,NOVA SCOTIA,B3K3H1,CA,"The Hollohans (Matt and Adam) bought our building late last year, and in January tried to renovict all the tenants. They fired the super/maintenance guy and stopped providing basic building maintenance, let garbage pile up, allowed mice to get out of control. They are next to impossible to get ahold of, disrespectful, and relentless. They are using all manner of pressure tactics to force low income tenants out of their units.",1,1,1,4,1
9,VICE CITY MANAGEMENT - ROMAN KNEEGS,WELLINGTON,WELLINGTON,6014,NZ,"Absolute bugger of a landlord, asked me to “kill myself” and threatened to take my dog away for barking too loud. ",1,1,1,3,1
10,EMMA JING LIU,MISSISSAUGA,ONTARIO,L5V0E2,CA,"Horrible landlord. Dramatic personality and always try to engage your life. Like she wants all the tenants to throw trash in turn. If you forget once she will abuse you fiercely in online group. She always announce that she treats you as her family member. My dear sir/madam, do you ever have one of your family members urging you to pay rent every month although you never miss paying a single cent to her? Sometimes I even pay her rent 1-2 days advancely since she even sends you messages to ask for rent on holidays!

As a high-rate tenant, I always pay rent in time, keep the room clean, but she never feel satisfied and send messages even phone calls during my work time! As a car salesperson, how can I answer the phone call when at an appointment with my guest, and to hear her ""PAY ME RENT"" or ""IS THAT YOU WHO DID NOT THROW TRASH""?

Besides, I live with my girlfriend and we have two cars. She can only provide one parking postion. I asked her many times to help me get an extra parking position, or obtaining parking permit, she never did it. She once told me that I can park at visit parking in the neighborhood, I did and got a $45 ticket. Actually I got totally 3 tickets and worth $125 totally, she never thought she would be responsible for this. I was even willing to pay $200 monthly to get a driveway parking, she could not still find sth for me. Imagine a landlord being useless in solving significant problem that the tenants have, and keep abusing them at online group because he once forgot to throw the trash! Always being useless on problems I have, and keep annoying my daily life!",1,1,1,1,1
11,PARK WEST APARTMENTS,GRIFFITH,INDIANA,46319,US,"If you are disabled, do not trust this complex. If you have a dog, do not trust this complex. If you are allergic to bees, do not trust this complex. 

This apartment complex made me feel so unsafe, they were blatantly turning a blind eye to things like people walking their dogs without a leash. People going way too fast in the complex when the posted speed limit is 5 mph. People breaking into cars. They have a police station on the complex and they still don't help. We had to contact them multiple times to get a bee hive out of our balcony roof and they didn't come a single time. I even called them to tell them they were coming in through the windows, that my cat was starting to try and hunt them and that it was turning into a safety concern and they still never came. We had water damage on our ceiling on the top floor and the roof was visibly coming in. Don't believe their prices that they list either. We had a one bedroom apartment and it was listed at 950 or so online but when we signed the lease all the extra fees made it actually 1500 a month. And if you cannot pay it by the 17th they will evict you. And if you're disabled, if you live alone, if you have trouble at all with legal jargon or the math that goes into why the price is that much, and need extra help, they will not help you. They are very rude and they make you feel stupid when you have any questions. There's mold, there's bugs, the air conditioning is absolutely terrible. We had to have our wall unit on full blast all the time and it wouldn't travel into the bedroom so it was miserably hot all year. Even when it was snowing. The counter tops are very cheap and weak. The floors are cheap and there are nails that stick out from the edges and you need to keep pounding them in so they don't hurt you. You can hear your neighbors tv the walls are so thin. 
The complex is beautiful, and so is the main office. Don't let that fool you, the apartments are low quality and the management is neglectful.",1,1,1,1,1
12,REDWOOD PROPERTY MANAGEMENT,SACRAMENTO,CALIFORNIA,95207,US,"No extension cords allowed. No candles, no incense, no pets.",3,3,3,3,3
13,502 HOLDINGS,SUDBURY,ONTARIO,P3B3M4,CA,The worst rental company ever. Ignored black mold in our apartment while we had an infant. Refused to fix anything or answer the phone,1,1,3,3,1
14,KAREN BROWN (SAMIRA JADA MEAGAN PETA KAREN BROWN) [MAN-OOCK HOLDINGS LTD],DUNEDIN,OTAGO,9320,NZ,"Moldy flats. came and went as she pleased with no warning. electricity would irregularly shut off and we would need to contact her to fix it, if we couldnt reach her by phone, she suggested we email (which is hard to do while the power's off?). Disgustingly rude, did everything she could to take the bond at the end of the year, but a tenancy tribunal threat cleared that up right quick. BTW check that she actually lodges the bond",2,1,3,1,1
15,CRAIG RELPH,WELLINGTON,WELLINGTON,5032,NZ,"Be very careful with this one, within first two weeks a tenant with keys unlocked the door and said they were still paying rent on the property, black mould everywhere a leaking ceiling with no intention of repairing.

Arrived without notice and took photos of us well attempting to instigate conflict and was extremely disrespectful to all present.

Presented questionable evidence during tribunal case.",1,1,3,1,1
16,WATERER FAMILY TRUST,AUCKLAND,AUCKLAND,2012,NZ,Been renting with them for over 2 years now and they're the best landlords i have ever had!,5,5,5,5,5
17,EFREN MORA,NORTH YORK,ONTARIO,M3J3P8,CA,"if i could give a 0 for every category I would. This landlord entered the apartment at will with zero notice multiple times, refused to disclose a monumental cockroach infestation and then refused to deal with it, damaged my personal items, and evicted me during the covid-19 lockdowns after i lost my serving job so his adult son could use the space as a home gym. it is no exaggeration to say that my experience with this landlord traumatized me. i hope he never rents out a space again.",1,1,1,1,1
18,MEL DEWEERD,STINSON BEACH,CALIFORNIA,94970,US,"Every request I've made has been responded to with prompt professional service and no fuss, from little things like replacing fridge water filter to bigger things like sanding down a doorframe when the door kept sticking, or replacing a broken microwave. Didn't raise rent on our upstairs neighbors for the 6 years they lived there, haven't raised rent on us in the 3 years we've been here. Their maintenance people take regular care of the exterior, but they rarely come around themselves. We're quiet w/no pets and always pay rent on time or early so I don't have info on how flexible they are with regard to pets/noise/financial issues. We're a queer interracial couple with a pride flag on our porch and can say that there's been no discrimination or trouble on that front. Couldn't ask for better, won the landlord lottery TBH.",5,5,5,5,5
19,CLV GROUP,HAMILTON,ONTARIO,L8V 1C4,CA,"Overall the WORST landlords I have ever dealt with. Ignore repair requests, try and change your rent without notification or legitimacy.  Dedicated onsite staff drink on the job and threaten tenants and their children. They try to intimidate tenants to leave so they can charge more for the rat infested buildings.  This is at the 775 concession st buildings in Hamilton. Anyone choosing to move here make sure you make records of EVERYTHING. As soon as the rent hike came into place CLV became more aggressive in their eviction tactics and their poor treatment of tenants.  These units are not worth more than $1200/mth. Happy home hunting",1,1,1,3,1
20,MICHAEL WEAVER,WELLINGTON,WELLINGTON,6021,NZ,"A scam to say the least. The house I moved into was old, damp and covered in black mould. My clothes and shoes went mouldy after a month. No one signed a lease and there was no follow up from him leading to alot of drama. Never had a single flat inspection over the 2 years I was there. He seems to think that providing a dodgy house and taking $1.2k+ a week is the only requirements for a landlord. Privacy was 5 stars because we never heard from him. Very unprofessional and seems to target young people/students who are naive about the entire renting process. Don't recommend at all.",2,1,1,5,3
21,OAK & STONE PROPERTY,SUDBURY,ONTARIO,P3C 4T9,CA,Good property manager and prompt services.,5,5,5,5,5
22,KEVIN COLGAN,PHILADELPHIA,PENNSYLVANIA,19139,US,"He's great when he's not around, but once a season he will come unannounced and do yard work that he'll attempt to charge you for later.",2,2,4,2,2
23,LOWTIDE DEVELOPMENT,BOSTON,MASSACHUSETTS,02119,US,Okay landlords. Never seem objectively hostile but do occasionally seem overwhelmed to the point of being bad at their jobs. Often will ignore messages if not reminded a few times. Ultimately will resolve problems if pestered enough.,4,3,3,3,3
24,KENTE PROPERTY MANAGEMENT,MADOC,ONTARIO,K0K2K0,CA,They're slum lords who don't give a shit about their tenants. They charge as much has they legally can and leave maintenance issues for literal years.,1,1,1,1,1
25,HOLTON MOUNTAIN RENTALS,BOONE,NORTH CAROLINA,28607,US,"Great about keeping things in working order, awful about raising rent arbitrarily year to year .",5,5,1,4,4
26,EDINBURGH REALTY,DUNEDIN,OTAGO,9016,NZ,"Toilet has been broken for months now which has just been a constant cycle of them 'letting someone know' and then not hearing anything. Pretty good at things like getting pest control in, just not repairs of any sort.
Also pretty useless with inspections, had an inspection at a previous flat delayed 6 times, all on part of the property manager other than one time, when we had all just gotten back from holiday and apparently our open suitcases on the floor made the flat 'too messy to inspect'.",1,4,4,4,4
27,STONE & BROWNING PROPERTY MANAGEMENT,BARRE,VERMONT,05641,US,"If you ask for a repair, they'll send two unqualified guys who will make it worse. All they want is your money. They charge illegal application fees. They'll keep your security deposit. Rents are sky high. You'll never get a reference. Avoid.",1,1,1,1,1
28,CITY OF SALES,AUCKLAND,AUCKLAND,1010,NZ,"Generally positive experience, never had any issues and was always given lots of notice for entering the apartment and rent increases (which were few)",5,5,4,5,4
29,CLOSE 2 HOME,OTTAWA,ONTARIO,K1J 7M9,CA,"Martin Guenette has negatively affected my roommates and myself so heavily that every time I rent with a new company, I am anxious and afraid that I may have an experience even remotely similar to one we had with Close 2 Home. The image that he puts forth to potential incoming tenants is highly deceptive and does not at all reflect what the actual rental experience entails. After agreeing to wait some extra time for cleaning on move-in day, our move in to the unit was significantly delayed simply because he allowed the previous tenants to stay an extra day (even though the lease in our names had already started). When we arrived, the unit was full of garbage and broken glass, and all surfaces were sticky. There were major maintenance issues (e.g., broken dryer, malfunctioning internet, massively leaking pipe) and problems created by the upstairs tenants were left unaddressed to a point where it was impossible to have safe, peaceful enjoyment of our property. Martin often flat-out ignored messages of concern, and when he did respond, it was in a way that was not only disrespectful but also ableist (e.g., using the r-slur), condescending, and misogynistic. When I expressed that we did not feel safe, he responded by text (verbatim): ""I cant control feelings... havent mastered that yet.."" We arranged a telephone meeting to discuss our concerns; when I mentioned the possibility of bringing concerns to the LTB if they are not addressed, he used a metaphor to imply that if we do that, he likely won't show up the next time there is an emergency. He did not give us sufficient notice for apartment tours (maskless, during peak Delta wave) and exhibited a general carelessness towards us as tenants. All four tenants left before the end of the lease, one of us being harmed so badly that within 1 month of living there, they had to drop a required university course purely for the sake of moving out.",2,1,1,1,1
30,TE ARO TENANCIES,WELLINGTON,WELLINGTON,6011,NZ,"Nobody ever gets their bond back
Takes ages to get in contact with them
So incompetent it must be on purpose
Had a dishwasher that never got fixed 
Windows don’t open 
Smoke alarm goes off constantly",1,2,2,5,3
31,ERINN AND JAMIE NOWISKI,OTTAWA,ONTARIO,K1N 7T9,CA,"Erinn and Jamie Nowiski are lovely, kind, and caring people, and I enjoyed having them as landlords (from spring 2019 to spring 2020) because of that. This was my first time renting and during the signing process, Erinn was very transparent and made sure we were aware of our rights as tenants. It was clear throughout the lease that they actually cared about their tenants' well-being and saw us as people rather than just numbers. They were receptive to our needs and patiently listened to our concerns. General repair was not great, as the unit ran into a few issues (e.g., very poor insulation, malfunctioning outlets, oversensitive fire alarm due to no range hood over stove, wasps, squirrels) and while several of the issues were addressed in a timely manner, the person doing these repairs was not particularly handy so the solutions put in place were questionable and/or didn't last. We did not renew the lease mostly because of structural aspects of the unit and aforementioned issues. However, I would recommend Erinn and Jamie as trustworthy landlords to anyone looking for basic student housing.",3,4,5,5,5
